Gene,gRNA
ANKLE1,NTC-10
ANKLE2,NTC-10
ANKMY1,NTC-10
ANKMY2,NTC-10
ANKRA2,NTC-10
ANKRD10,NTC-10
ANKRD11,NTC-10
ANKRD12,NTC-10
ANKRD13A,NTC-10
ANKRD13B,NTC-10
ANKRD13C,NTC-10
ANKRD13D,NTC-10
ANKRD16,NTC-10
ANKRD17,NTC-10
ANKRD18B,NTC-10
ANKRD18DP,NTC-10
ANKRD20A11P,NTC-10
ANKRD20A17P,NTC-10
ANKRD20A1,NTC-10
ANKRD20A21P,NTC-10
ANKRD20A3,NTC-10
ANKRD20A5P,NTC-10
ANKRD20A8P,NTC-10
ANKRD26,NTC-10
ANKRD27,NTC-10
ANKRD28,NTC-10
ANKRD33B,NTC-10
ANKRD33,NTC-10
ANKRD36B,NTC-10
ANKRD36BP2,NTC-10
ANKRD36C,NTC-10
ANKRD36,NTC-10
ANKRD37,NTC-10
ANKRD39,NTC-10
ANKRD40,NTC-10
ANKRD42,NTC-10
ANKRD46,NTC-10
ANKRD49,NTC-10
ANKRD50,NTC-10
ANKRD52,NTC-10
ANKRD54,NTC-10
ANKRD9,NTC-10
ANKS1A,NTC-10
ANKS1B,NTC-10
ANKS3,NTC-10
ANKS6,NTC-10
ANKZF1,NTC-10
ANLN,NTC-10
ANO10,NTC-10
ANO5,NTC-10
ANO6,NTC-10
ANO8,NTC-10
ANP32A,NTC-10
ANP32B,NTC-10
ANP32E,NTC-10
ANTXR2,NTC-10
ANXA11,NTC-10
ANXA1,NTC-10
ANXA2,NTC-10
ANXA2R,NTC-10
ANXA3,NTC-10
ANXA4,NTC-10
ANXA5,NTC-10
ANXA6,NTC-10
ANXA7,NTC-10
ANXA9,NTC-10
AP000347.1,NTC-10
AP000553.5,NTC-10
AP000769.1,NTC-10
AP000902.1,NTC-10
AP001267.5,NTC-10
AP002495.2,NTC-10
AP002956.1,NTC-10
AP002990.1,NTC-10
AP003108.2,NTC-10
AP006222.1,NTC-10
AP1AR,NTC-10
AP1B1,NTC-10
AP1G1,NTC-10
AP1G2,NTC-10
AP1M1,NTC-10
AP1S1,NTC-10
AP1S2,NTC-10
AP2A1,NTC-10
AP2A2,NTC-10
AP2B1,NTC-10
AP2M1,NTC-10
AP2S1,NTC-10
AP3B1,NTC-10
AP3D1,NTC-10
AP3M1,NTC-10
AP3M2,NTC-10
AP3S1,NTC-10
AP3S2,NTC-10
AP4B1,NTC-10
AP4E1,NTC-10
AP4M1,NTC-10
AP4S1,NTC-10
AP5B1,NTC-10
AP5M1,NTC-10
AP5S1,NTC-10
AP5Z1,NTC-10
APAF1,NTC-10
APBA2,NTC-10
APBA3,NTC-10
APBB3,NTC-10
APC2,NTC-10
APC,NTC-10
APEH,NTC-10
APEX1,NTC-10
APEX2,NTC-10
APH1A,NTC-10
APH1B,NTC-10
API5,NTC-10
APIP,NTC-10
APLP1,NTC-10
APLP2,NTC-10
APMAP,NTC-10
APOBEC3B,NTC-10
APOBEC3C,NTC-10
APOBEC3F,NTC-10
APOBEC3G,NTC-10
APOC1,NTC-10
APOL1,NTC-10
APOL2,NTC-10
APOL4,NTC-10
APOL6,NTC-10
APOM,NTC-10
APOOL,NTC-10
APOO,NTC-10
APOPT1,NTC-10
APPBP2,NTC-10
APPL1,NTC-10
APPL2,NTC-10
APRT,NTC-10
APTX,NTC-10
AQP10,NTC-10
AQP11,NTC-10
AQP1,NTC-10
AQP3,NTC-10
AQR,NTC-10
ARAF,NTC-10
ARAP1,NTC-10
ARAP3,NTC-10
ARCN1,NTC-10
AREG,NTC-10
AREL1,NTC-10
ARF1,NTC-10
ARF3,NTC-10
ARF4,NTC-10
ARF5,NTC-10
ARF6,NTC-10
ARFGAP1,NTC-10
ARFGAP2,NTC-10
ARFGAP3,NTC-10
ARFGEF1,NTC-10
ARFGEF2,NTC-10
ARFIP1,NTC-10
ARFIP2,NTC-10
ARFRP1,NTC-10
ARG2,NTC-10
ARGFX,NTC-10
ARGLU1,NTC-10
ARHGAP11A,NTC-10
ARHGAP12,NTC-10
ARHGAP15,NTC-10
ARHGAP17,NTC-10
ARHGAP18,NTC-10
ARHGAP1,NTC-10
ARHGAP21,NTC-10
ARHGAP24,NTC-10
ARHGAP25,NTC-10
ARHGAP26,NTC-10
ARHGAP28,NTC-10
ARHGAP35,NTC-10
ARHGAP39,NTC-10
ARHGAP45,NTC-10
ARHGAP4,NTC-10
ARHGAP5,NTC-10
ARHGAP6,NTC-10
ARHGDIA,NTC-10
ARHGEF10,NTC-10
ARHGEF12,NTC-10
ARHGEF19,NTC-10
ARHGEF1,NTC-10
ARHGEF25,NTC-10
ARHGEF26,NTC-10
