"Gene","gRNA","p_value"
"ALKBH7","NTC-10",0.00635070394120419
"ALKBH8","NTC-10",0.15753688207811
"ALMS1","NTC-10",0.719009861855454
"ALOX12","NTC-10",0.932538629594559
"ALPK1","NTC-10",0.827434389895409
"ALS2","NTC-10",0.386188264586946
"ALX1","NTC-10",0.766202504899309
"ALYREF","NTC-10",0.0202541494311666
"AMBRA1","NTC-10",0.909285502173834
"AMD1","NTC-10",0.990799637224431
"AMDHD2","NTC-10",0.670011931675711
"AMFR","NTC-10",0.88781178722329
"AMHR2","NTC-10",0.578444257059786
"AMIGO2","NTC-10",0.0712143759864861
"AMMECR1L","NTC-10",0.0512393603181434
"AMMECR1","NTC-10",0.94534901181627
"AMN1","NTC-10",0.519065491482797
"AMOTL1","NTC-10",0.79374342435388
"AMPD2","NTC-10",0.224779151899425
"AMPD3","NTC-10",0.97909088813642
"AMZ2","NTC-10",0.0434912440759161
"AMZ2P1","NTC-10",0.206592412125566
"ANAPC10","NTC-10",0.875129361540345
"ANAPC11","NTC-10",0.018216191758835
"ANAPC13","NTC-10",0.615084751517316
"ANAPC15","NTC-10",0.00920172288757019
"ANAPC16","NTC-10",0.174112624873376
"ANAPC1","NTC-10",0.602852951378154
"ANAPC2","NTC-10",0.418964933407204
"ANAPC4","NTC-10",0.488606884216304
"ANAPC5","NTC-10",0.184317514237155
"ANAPC7","NTC-10",0.855768715882042
"ANGEL1","NTC-10",0.587860181928284
"ANGEL2","NTC-10",0.138224056451716
"ANGPT1","NTC-10",0.616919049654568
"ANK1","NTC-10",0.94361290475419
"ANK3","NTC-10",0.63816008044631
"ANKDD1A","NTC-10",0.337017077767566
"ANKEF1","NTC-10",0.516293547490365
"ANKFY1","NTC-10",0.521742562579572
"ANKHD1","NTC-10",0.0684931752188752
"ANKH","NTC-10",0.453946395967628
"ANKIB1","NTC-10",0.152148937094846
"ANKLE1","NTC-10",0.187013708021936
"ANKLE2","NTC-10",0.204496786788266
"ANKMY1","NTC-10",0.847364024862564
"ANKMY2","NTC-10",0.438818912615349
"ANKRA2","NTC-10",0.633839999515059
"ANKRD10","NTC-10",0.0212104161093537
"ANKRD11","NTC-10",0.490859575212578
"ANKRD12","NTC-10",0.0354466452569476
"ANKRD13A","NTC-10",0.846133419740497
"ANKRD13B","NTC-10",0.0465708422010419
"ANKRD13C","NTC-10",0.242207351691471
"ANKRD13D","NTC-10",0.868111673711037
"ANKRD16","NTC-10",0.734045989143323
