"Gene","gRNA","p_value"
"RAB1A","SNP-50-2",0.0321371838606774
"SLC29A1","SNP-87-1",0.897107965061544
"GTPBP2","SNP-87-1",0.155999728992774
"VEGFA","SNP-87-1",0.106931119203149
"MAD2L1BP","SNP-87-1",0.00552897680492472
"POLH","SNP-87-1",0.355999514100199
"HSP90AB1","SNP-87-1",0.00901073573346617
"ABCC10","SNP-87-1",0.0461650612764904
"ZNF318","SNP-87-1",0.0022586053647548
"TJAP1","SNP-87-1",0.854476979683405
"XPO5","SNP-87-1",0.466062416741633
"MRPS18A","SNP-87-1",0.00601211013560427
"TMEM63B","SNP-87-1",0.202341850197779
"YIPF3","SNP-87-1",0.00570820763187663
"MRPL14","SNP-87-1",0.00112503898779282
"POLR1C","SNP-87-1",0.0215492250706555
"AARS2","SNP-87-1",0.884487534566606
"NFKBIE","SNP-87-1",0.266345530425406
"SLC35B2","SNP-87-1",0.0354733281930085
"MAMSTR","SNP-9-2",0.021419336139047
"CA11","SNP-9-2",0.552760432500282
"SNRNP70","SNP-9-2",0.286804416091896
"RASIP1","SNP-9-2",0.909730512413344
"RUVBL2","SNP-9-2",0.621569033548269
"GRWD1","SNP-9-2",0.617100274994578
"PPP1R15A","SNP-9-2",0.035650388517173
"C19orf73","SNP-9-2",0.168461029355135
"LIN7B","SNP-9-2",0.0143948745275605
"SPHK2","SNP-9-2",0.256824211741266
"BAX","SNP-9-2",0.546883090006112
"GYS1","SNP-9-2",0.714114453218363
"PLEKHA4","SNP-9-2",0.0479653075316867
"NUCB1","SNP-9-2",0.414809832092136
"TRPM4","SNP-9-2",0.815189490197362
"CYTH2","SNP-9-2",0.520297494871875
"CD37","SNP-9-2",0.451671225623113
"FTL","SNP-9-2",8.14528716408456e-06
"RPL18","SNP-9-2",0.0636341500770438
"KDELR1","SNP-9-2",0.131900600696827
"GRIN2D","SNP-9-2",0.727003546899123
"FUT1","SNP-9-2",0.467007854275218
"KCNJ14","SNP-9-2",0.283962769059589
"DBP","SNP-9-2",0.413579148740379
"HRC","SNP-9-2",0.725723872429937
"PPFIA3","SNP-9-2",0.690670046154591
"TEAD2","SNP-9-2",0.0742263999956577
"BCAT2","SNP-9-2",0.133650244207178
"SORBS1","SNP-77-2",0.128179875331933
"TCTN3","SNP-77-2",0.419165287522724
"ALDH18A1","SNP-77-2",0.0211203595345639
"ENTPD1","SNP-77-2",0.849518622095838
"GTDC1","SNP-46-1",0.0296459649109261
"ZEB2","SNP-46-1",0.27808738066492
"ZDHHC19","SNP-22-2",0.134563464411197
"RNF168","SNP-22-2",0.000157099627136404
"WDR53","SNP-22-2",0.323051638628224
"PCYT1A","SNP-22-2",0.67773328687508
"UBXN7","SNP-22-2",0.809989032671766
"TM4SF19","SNP-22-2",0.150036791720612
"FBXO45","SNP-22-2",0.0703544227891329
"TNK2","SNP-22-2",0.600008709270244
"MAP7","SNP-72-1",0.111336465728758
"MAP3K5","SNP-72-1",0.37251383277964
"IFNGR1","SNP-72-1",0.213665573762924
"BCLAF1","SNP-72-1",0.460157241727771
"PEX7","SNP-72-1",0.570383983576963
"RAB7A","SNP-69-2",0.602399810883511
"SEC61A1","SNP-69-2",0.39163710839363
"RPN1","SNP-69-2",0.0961563080015314
"RUVBL1","SNP-69-2",0.735847230018448
"ACAD9","SNP-69-2",0.671452706475795
"BOLA2B","SNP-10-2",0.0249502660329664
"CDIPT","SNP-10-2",8.09072403071218e-05
"PPP4C","SNP-10-2",0.00143845147355591
"TMEM68","SNP-54-1",0.762499959841228
"LYN","SNP-54-1",0.0887906260079797
"TGS1","SNP-54-1",0.291104746953312
"KCTD13","SNP-10-2",0.981664857392897
"KIF22","SNP-10-2",0.659079228509795
"MAPK3","SNP-10-2",0.186988736667395
"PLAG1","SNP-54-1",0.0717541740812762
"CHCHD7","SNP-54-1",0.600227429921946
"HIRIP3","SNP-10-2",0.790441082961263
"INO80E","SNP-10-2",0.157275428060927
"TMEM219","SNP-10-2",0.00827287055307591
"TAOK2","SNP-10-2",0.0400601093961135
"PAGR1","SNP-10-2",0.083871953954679
"MVP","SNP-10-2",0.873367600416911
"ALDOA","SNP-10-2",0.159033687837547
"SEZ6L2","SNP-10-2",0.185453112874907
"YPEL3","SNP-10-2",0.611727797705036
"QPRT","SNP-10-2",0.0189191431949633
"RPS20","SNP-54-1",0.0225977145618364
"BOLA2-SMG1P6","SNP-10-2",0.0820889037199265
"SPN","SNP-10-2",0.50430381583839
