"gene_id","gRNA_id","gRNA_type","p_value","z_value","log_fold_change"
"NCK1","NTC-10","negative_control",0.380619380619381,-0.283586187014155,-0.0360541528113376
"NCK2","NTC-10","negative_control",0.333335024826063,-0.413970832670323,-0.068373625672983
"NCKAP1L","NTC-10","negative_control",0.707943521393907,0.566469855596248,0.0913884183582541
"NCKAP1","NTC-10","negative_control",0.0209325547346771,-1.96663492476774,-0.149475747982652
"NCKAP5L","NTC-10","negative_control",0.709488046230442,0.464374168592576,0.0700235600217649
"NCKIPSD","NTC-10","negative_control",0.273773056377818,-0.587490170186654,-0.0893054855254864
"NCLN","NTC-10","negative_control",0.106670018864467,-1.2237515867958,-0.100860095978982
"NCL","NTC-10","negative_control",0.216023816194276,-0.725406065124954,-0.0325900723241945
"NCOA1","NTC-10","negative_control",0.106810797217079,-1.16501768602153,-0.107183936329665
"NCOA2","NTC-10","negative_control",0.78559151931801,0.795038930568297,0.0946223039102929
"NCOA3","NTC-10","negative_control",0.998861450495292,3.19681487544582,0.316899919926282
"NCOA4","NTC-10","negative_control",0.247639972901069,-0.739610540419345,-0.0334501980676958
"NCOA5","NTC-10","negative_control",0.584837629102424,0.18442952562403,0.0203034070121526
"NCOA6","NTC-10","negative_control",0.823321809843427,0.940870719195347,0.0970423623046515
"NCOA7","NTC-10","negative_control",0.00131661768271901,-2.72565389928959,-0.307746219636572
"NCOR1","NTC-10","negative_control",0.0356829630283514,-1.70346794284376,-0.0922446842352452
"NCOR2","NTC-10","negative_control",0.203697565697562,-0.808477123139516,-0.086721374948876
"NCR3LG1","NTC-10","negative_control",0.287682739818597,-0.5728427199142,-0.0477894097719297
"NCSTN","NTC-10","negative_control",0.050738584692588,-1.53847764027648,-0.151099241479479
"NDC1","NTC-10","negative_control",0.833421738969193,0.982181546950432,0.0738644509057568
"NDC80","NTC-10","negative_control",0.814185814185814,0.802003323529552,0.0587146088662261
"NDE1","NTC-10","negative_control",0.788688358690398,0.761836999464522,0.076806874774789
"NDEL1","NTC-10","negative_control",0.780715636300374,0.737293358698507,0.087475952875359
"NDFIP1","NTC-10","negative_control",0.620551994919681,0.328358625170554,0.0170464156678856
"NDFIP2","NTC-10","negative_control",0.000456923582851487,-3.03824693409866,-0.237713876111558
"NDN","NTC-10","negative_control",0.456400910962084,-0.0862969666932933,-0.0134022037767183
"NDOR1","NTC-10","negative_control",0.53046953046953,0.0667776290033378,0.0124107441421413
"NDRG2","NTC-10","negative_control",0.236480367852084,-0.769315779148337,-0.0836353489694734
"NDRG3","NTC-10","negative_control",0.314800610847496,-0.466184931346376,-0.0428782044041437
"NDST1","NTC-10","negative_control",0.238828322571372,-0.662890502153048,-0.0908940474262911
"NDUFA10","NTC-10","negative_control",0.658956229248086,0.450006620919906,0.0240911849116346
"NDUFA11","NTC-10","negative_control",0.261285054448369,-0.641120507560523,-0.0342777416489892
"NDUFA12","NTC-10","negative_control",0.737184349721475,0.602953090056823,0.0227969481958346
"NDUFA13","NTC-10","negative_control",0.282327201389141,-0.5897250447679,-0.0674938100041171
"NDUFA1","NTC-10","negative_control",0.649328249995761,0.377352129742514,0.0117967100636891
"NDUFA2","NTC-10","negative_control",0.756812532539771,0.680713408259896,0.0234464470643372
"NDUFA3","NTC-10","negative_control",0.846171775249245,1.04245383223343,0.0503563141385397
"NDUFA4","NTC-10","negative_control",0.181637111447506,-0.839437458717373,-0.0258046112547308
"NDUFA5","NTC-10","negative_control",0.313561474533183,-0.476754482912968,-0.0187651749599176
"NDUFA6","NTC-10","negative_control",0.631992316733121,0.356420580672763,0.013363416056821
"NDUFA7","NTC-10","negative_control",0.494737243562123,-0.0476315758575982,-0.0102020277323258
"NDUFA8","NTC-10","negative_control",0.408371465137526,-0.211686352705175,-0.00735056245734156
"NDUFA9","NTC-10","negative_control",0.727256772514701,0.570325788577795,0.0835834681403687
"NDUFAB1","NTC-10","negative_control",0.736263736263736,0.607747228329916,0.0210430396620964
"NDUFAF1","NTC-10","negative_control",0.363644121354826,-0.364719633362769,-0.0311050150820772
"NDUFAF2","NTC-10","negative_control",0.596031275488472,0.241706208121211,0.0123429481220512
"NDUFAF3","NTC-10","negative_control",0.608622266392035,0.256987399733826,0.0128987118426438
"NDUFAF4","NTC-10","negative_control",0.805194805194805,0.864462072475297,0.0400491734710779
"NDUFAF5","NTC-10","negative_control",0.352647352647353,-0.336246611494796,-0.0342395328548029
"NDUFAF6","NTC-10","negative_control",0.539351243232186,0.106076557079161,0.00721018311816328
"NDUFAF7","NTC-10","negative_control",0.118881118881119,-1.15382789112408,-0.13691857066667
"NDUFAF8","NTC-10","negative_control",0.149021139926987,-0.949039617727859,-0.0459195593926416
"NDUFB10","NTC-10","negative_control",0.924820890758229,1.44675729748702,0.0484714427525366
"NDUFB11","NTC-10","negative_control",0.483010995308846,-0.0138517089774986,-0.000643446742204734
"NDUFB1","NTC-10","negative_control",0.437308967727848,-0.16307204395789,-0.00754763738443187
"NDUFB2","NTC-10","negative_control",0.414259525680936,-0.15906311750191,-0.00534802722926475
"NDUFB3","NTC-10","negative_control",0.465334119556935,-0.100106825376622,-0.00393281768093345
"NDUFB4","NTC-10","negative_control",0.828645441113063,0.935226967527097,0.0415279230128116
"NDUFB5","NTC-10","negative_control",0.248613603258873,-0.640975886216474,-0.0257487797672484
"NDUFB6","NTC-10","negative_control",0.378413952915225,-0.311311569154065,-0.0116660500242376
"NDUFB7","NTC-10","negative_control",0.298047256112337,-0.509405141302013,-0.0178846140323314
"NDUFB8","NTC-10","negative_control",0.159323366798549,-0.964097355186309,-0.168421481439716
"NDUFB9","NTC-10","negative_control",0.158789498263017,-0.971169127971132,-0.0329748136513941
"NDUFC1","NTC-10","negative_control",0.905958081757277,1.45040648862323,0.0528716149255646
"NDUFC2","NTC-10","negative_control",0.0318737213060388,-1.74437636612308,-0.152963243242472
